CourseName,Unit,ReviewNumber,AvgStar,Level,Results,course_ID,combined_features
IBM Data Science Professional Certificate,IBM,69587,4.6,Beginner level,"Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles
Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL
Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines
Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers
",329,"IBM Data Science Professional Certificate IBM Beginner level Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles
Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL
Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines
Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers
"
What is Data Science?,IBM,68152,4.7,Beginner level,"Define data science and its importance in today’s data-driven world.
Describe the various paths that can lead to a career in data science.
 Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.
Explain why data science is considered the most in-demand job in the 21st century. 
",637,"What is Data Science? IBM Beginner level Define data science and its importance in today’s data-driven world.
Describe the various paths that can lead to a career in data science.
 Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.
Explain why data science is considered the most in-demand job in the 21st century. 
"
Data Science Challenge,Coursera Project Network,0,0.0,Intermediate level,"Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
",155,"Data Science Challenge Coursera Project Network Intermediate level Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
"
Leverage Data Science for a More Agile Supply Chain Specialization,"University of California, Irvine",184,4.5,Intermediate level,"Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.
Set up and solve optimization problems in Excel.
Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain.
",397,"Leverage Data Science for a More Agile Supply Chain Specialization University of California, Irvine Intermediate level Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.
Set up and solve optimization problems in Excel.
Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain.
"
Go Beyond the Numbers: Translate Data into Insights,Google,481,4.8,Advanced level,"Apply the exploratory data analysis (EDA) process
Explore the benefits of structuring and cleaning data
Investigate raw data using Python
Create data visualizations using Tableau 
",309,"Go Beyond the Numbers: Translate Data into Insights Google Advanced level Apply the exploratory data analysis (EDA) process
Explore the benefits of structuring and cleaning data
Investigate raw data using Python
Create data visualizations using Tableau 
"
Bayesian Statistics Specialization,"University of California, Santa Cruz",281,4.6,Intermediate level,"Bayesian Inference
Time Series Forecasting
Hierarchical Modeling
",49,"Bayesian Statistics Specialization University of California, Santa Cruz Intermediate level Bayesian Inference
Time Series Forecasting
Hierarchical Modeling
"
"Foundations: Data, Data, Everywhere",Google,99239,4.8,Beginner level,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.
Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.
Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.
Describe the role of a data analyst with specific reference to jobs.
",271,"Foundations: Data, Data, Everywhere Google Beginner level Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.
Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.
Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.
Describe the role of a data analyst with specific reference to jobs.
"
Google Advanced Data Analytics Capstone,Google,532,4.9,Advanced level,"Examine data to identify patterns and trends 
Build models using machine learning techniques 
Create data visualizations 
Explore career resources 
",310,"Google Advanced Data Analytics Capstone Google Advanced level Examine data to identify patterns and trends 
Build models using machine learning techniques 
Create data visualizations 
Explore career resources 
"
Data Science Methods for Quality Improvement Specialization,University of Colorado Boulder,13,4.8,Intermediate level,"Manage, describe, and analyze data using applied statistics
Apply continuous and/or discrete data methods for process analysis, improvement, and ongoing management in a business or workplace
Analyze measurement systems to ensure their stability and capability
",160,"Data Science Methods for Quality Improvement Specialization University of Colorado Boulder Intermediate level Manage, describe, and analyze data using applied statistics
Apply continuous and/or discrete data methods for process analysis, improvement, and ongoing management in a business or workplace
Analyze measurement systems to ensure their stability and capability
"
The Path to Insights: Data Models and Pipelines,Google,376,4.7,Advanced level,"Build data models that answer business questions 
Apply the ETL process to workplace scenarios
Explore ETL tools
Construct a pipeline to deliver necessary data
",594,"The Path to Insights: Data Models and Pipelines Google Advanced level Build data models that answer business questions 
Apply the ETL process to workplace scenarios
Explore ETL tools
Construct a pipeline to deliver necessary data
"
IBM Data Analyst Professional Certificate,IBM,17406,4.7,Beginner level,"Master the most up-to-date practical skills and tools that data analysts use in their daily roles
Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau
Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services 
Gain technical experience through hands on labs and projects and build a portfolio to showcase your work
",327,"IBM Data Analyst Professional Certificate IBM Beginner level Master the most up-to-date practical skills and tools that data analysts use in their daily roles
Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau
Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services 
Gain technical experience through hands on labs and projects and build a portfolio to showcase your work
"
Generative AI: Elevate Your Data Science Career,IBM,20,4.8,Intermediate level," Leverage generative AI tools, like GPT 3.5, ChatCSV, and tomat.ai, available to Data Scientists for querying and preparing data  
Examine real-world scenarios where generative AI can enhance data science workflows
Practice generative AI skills in hand-on labs and projects by generating and augmenting datasets for specific use cases
Apply generative AI techniques in the development and refinement of machine learning models
",290,"Generative AI: Elevate Your Data Science Career IBM Intermediate level  Leverage generative AI tools, like GPT 3.5, ChatCSV, and tomat.ai, available to Data Scientists for querying and preparing data  
Examine real-world scenarios where generative AI can enhance data science workflows
Practice generative AI skills in hand-on labs and projects by generating and augmenting datasets for specific use cases
Apply generative AI techniques in the development and refinement of machine learning models
"
Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Codio,22,3.6,Beginner level,"Be familiar with data science libraries in Python and R. 
Data transformation and normalization in Python and R.
Create graph and charts using Python and R.
",163,"Data Science and Analysis Tools - from Jupyter to R Markdown Specialization Codio Beginner level Be familiar with data science libraries in Python and R. 
Data transformation and normalization in Python and R.
Create graph and charts using Python and R.
"
Python Data Products for Predictive Analytics Specialization,University of California San Diego,166,4.1,Intermediate level,"Discover how to transform data and make it suitable for data-driven predictive tasks 
Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more
Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems
Perform simple regressions and classifications on datasets using machine learning libraries 
",509,"Python Data Products for Predictive Analytics Specialization University of California San Diego Intermediate level Discover how to transform data and make it suitable for data-driven predictive tasks 
Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more
Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems
Perform simple regressions and classifications on datasets using machine learning libraries 
"
Statistical Modeling for Data Science Applications Specialization,University of Colorado Boulder,29,4.2,Intermediate level,"Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.
Successfully conduct experiments based on best practices in experimental design.
Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships.
",574,"Statistical Modeling for Data Science Applications Specialization University of Colorado Boulder Intermediate level Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.
Successfully conduct experiments based on best practices in experimental design.
Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships.
"
Use Tableau for Your Data Science Workflow Specialization,"University of California, Irvine",17,4.0,Beginner level,"Explain fundamental concepts behind visualizations.
Setup and perform data analysis using industry-standard models.
Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results.
",622,"Use Tableau for Your Data Science Workflow Specialization University of California, Irvine Beginner level Explain fundamental concepts behind visualizations.
Setup and perform data analysis using industry-standard models.
Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results.
"
DeepLearning.AI TensorFlow Developer Professional Certificate,DeepLearning.AI,21173,4.7,Intermediate level,"Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications.
Handle real-world image data and explore strategies to prevent overfitting, including augmentation and dropout.
Build natural language processing systems using TensorFlow.
Apply RNNs, GRUs, and LSTMs as you train them using text repositories.
",208,"DeepLearning.AI TensorFlow Developer Professional Certificate DeepLearning.AI Intermediate level Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications.
Handle real-world image data and explore strategies to prevent overfitting, including augmentation and dropout.
Build natural language processing systems using TensorFlow.
Apply RNNs, GRUs, and LSTMs as you train them using text repositories.
"
Applied Machine Learning in Python,University of Michigan,8464,4.6,Intermediate level,"Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Explain different approaches for creating predictive models
Build features that meet analysis needs
",36,"Applied Machine Learning in Python University of Michigan Intermediate level Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Explain different approaches for creating predictive models
Build features that meet analysis needs
"
Databases and SQL for Data Science with Python,IBM,19323,4.6,Beginner level,"Analyze data within a database using SQL and Python.
Create a relational database and work with multiple tables using DDL commands. 
Construct basic to intermediate level SQL queries using DML commands. 
Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. 
",194,"Databases and SQL for Data Science with Python IBM Beginner level Analyze data within a database using SQL and Python.
Create a relational database and work with multiple tables using DDL commands. 
Construct basic to intermediate level SQL queries using DML commands. 
Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. 
"
Deep Neural Networks with PyTorch,IBM,1577,4.4,Intermediate level,"Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. 
Explain and apply knowledge of Deep Neural Networks and related machine learning methods.
Describe how to use Python libraries such as PyTorch for Deep Learning applications.
Build Deep Neural Networks using PyTorch.
",205,"Deep Neural Networks with PyTorch IBM Intermediate level Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. 
Explain and apply knowledge of Deep Neural Networks and related machine learning methods.
Describe how to use Python libraries such as PyTorch for Deep Learning applications.
Build Deep Neural Networks using PyTorch.
"
Data Analysis Using Pyspark,Coursera Project Network,282,4.5,Intermediate level,"Learn how to setup the google colab for distributed data processing 
Learn applying different queries to your dataset to extract useful Information
Learn how to visualize this information using matplotlib
",122,"Data Analysis Using Pyspark Coursera Project Network Intermediate level Learn how to setup the google colab for distributed data processing 
Learn applying different queries to your dataset to extract useful Information
Learn how to visualize this information using matplotlib
"
Understanding and Visualizing Data with Python,University of Michigan,2593,4.7,Beginner level,"Properly identify various data types and understand the different uses for each  
Create data visualizations and numerical summaries with Python
Communicate statistical ideas clearly and concisely to a broad audience
Identify appropriate analytic techniques for probability and non-probability samples
",617,"Understanding and Visualizing Data with Python University of Michigan Beginner level Properly identify various data types and understand the different uses for each  
Create data visualizations and numerical summaries with Python
Communicate statistical ideas clearly and concisely to a broad audience
Identify appropriate analytic techniques for probability and non-probability samples
"
HR Analytics- Build an HR dashboard using Power BI,Coursera Project Network,238,4.6,Beginner level,"Build an attractive and eye-catching HR dashboard
Visualize gender & racial diversity using graphs & charts in Power BI
Explore buttons, themes, filters & slicers to make the dashboard interactive & smart
",317,"HR Analytics- Build an HR dashboard using Power BI Coursera Project Network Beginner level Build an attractive and eye-catching HR dashboard
Visualize gender & racial diversity using graphs & charts in Power BI
Explore buttons, themes, filters & slicers to make the dashboard interactive & smart
"
Machine Learning: Theory and Hands-on Practice with Python Specialization,University of Colorado Boulder,44,3.7,Intermediate level,"Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  
Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.
Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.
Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.
",430,"Machine Learning: Theory and Hands-on Practice with Python Specialization University of Colorado Boulder Intermediate level Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  
Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.
Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.
Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.
"
Julia for Beginners in Data Science,Coursera Project Network,48,4.4,Beginner level,"Learn how to clean data.
Learn how to do exploratory data analysis.
Learn about different types of joins.
",392,"Julia for Beginners in Data Science Coursera Project Network Beginner level Learn how to clean data.
Learn how to do exploratory data analysis.
Learn about different types of joins.
"
